what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1419654337565
java.vm.specification.version,sysinfo,,,"1.8",1419654337565
java.vm.vendor,sysinfo,,,"Oracle Corporation",1419654337565
java.vm.version,sysinfo,,,"25.5-b02",1419654337565
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1419654337565
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1419654338220
started,bundle,com.android.ide.eclipse.ndk,23.0.3.1327240,"com.android.ide.eclipse.ndk",1419654338283
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1419654338719
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1419654338735
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1419654339031
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1419654339031
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1419654341855
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1419654347409
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419654361417
error,log,,,"Could not create tab content because could not find view with id -1",1419654378421
error,log,,,"Could not create tab content because could not find view with id -1",1419654378437
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1419654379108
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1419654388733
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419654392056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654395316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654400355
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1419654400371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1419654400371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654408358
closed,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419654410245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654410526
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1419654410526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1419654410526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654418451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654420432
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1419654420432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1419654420432
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1419654428404
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419654429387
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1419654432678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654433240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654439152
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1419654439761
started,bundle,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms",1419654442350
opened,view,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms.views.LogCatView",1419654442506
activated,view,com.android.ide.eclipse.ddms,23.0.3.1327240,"com.android.ide.eclipse.ddms.views.LogCatView",1419654442522
started,bundle,com.android.ide.eclipse.traceview,23.0.3.1327240,"com.android.ide.eclipse.traceview",1419654442678
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419654444254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654446469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654454409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654560942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654561457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419654980192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419655293862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419655764359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661020351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661021489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661261906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661262062
opened,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419661282732
activated,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419661282794
error,log,,,"Failed to update a TargetChangeListener.",1419661284541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661285368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661292763
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419661292778
error,log,,,"Could not create tab content because could not find view with id -1",1419661299330
error,log,,,"Could not create tab content because could not find view with id -1",1419661299346
activated,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419661307255
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1419661311295
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419661337457
opened,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419661338205
activated,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419661338252
error,log,,,"Failed to update a TargetChangeListener.",1419661339095
activated,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419661351902
closed,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419661351902
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419661353228
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1419661354897
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1419661354991
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1419661355022
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1419661356239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661358735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661367658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661367908
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1419661380088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661431969
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419661433030
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1419661435214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661440563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661813491
activated,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419661816535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661818824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661826343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661826531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661884688
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419661885499
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1419661888151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661888787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419661972738
activated,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419661972787
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419661976990
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419661979559
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1419661979847
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1419661979984
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419661980068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419662281939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419662581887
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1419664673330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419664676338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419664822069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1419664822078
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419664839844
activated,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419664841559
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419664844396
opened,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419664846732
activated,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419664847151
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1419664852356
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1419664852540
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1419664852692
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1419664854362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419664863617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419664864655
activated,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419664864693
closed,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419664864693
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1419664865752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419664868731
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1419664877394
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1419664877401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419664909430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1419664909436
activated,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419664912771
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1419664912854
closed,editor,com.android.ide.eclipse.adt,23.0.3.1327240,"com.android.ide.eclipse.editors.CommonXmlEditor",1419664912855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419664964890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419665185418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419665187998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419665188493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419665243534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419682422295
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1419682423969
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1419682425708
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1419682425766
